
Distance (AU)	Mass	17	28	46	77	129	215	318	464	774	1292	2154	3594
0.02	0	-	1.770	1.539	1.387	1.309	1.281	1.258	1.248	1.235	1.244	1.240	1.199
	10	0.909	1.150	1.221	1.211	1.228	1.234	1.229	1.229	1.224	1.237	1.235	1.197
	25	-	0.461	0.838	1.022	1.121	1.169	1.189	1.200	1.206	1.228	1.229	1.192
	50	-	-	-	0.746	0.958	1.072	1.122	1.156	1.180	1.211	1.218	1.186
	100	-	-	-	-	0.640	0.888	0.997	1.068	1.130	1.179	1.198	1.173
0.045	0	1.490	1.271	1.183	1.144	1.163	1.167	1.160	1.157	1.156	1.164	1.149	1.107
	10	0.698	0.888	0.975	1.043	1.099	1.127	1.134	1.140	1.147	1.158	1.145	1.105
	25	-	0.426	0.739	0.908	1.012	1.072	1.099	1.115	1.132	1.149	1.140	1.101
	50	-	-	-	0.684	0.877	0.988	1.041	1.077	1.109	1.134	1.130	1.095
	100	-	-	-	-	0.607	0.831	0.932	0.999	1.065	1.105	1.111	1.084
0.1	0	1.298	1.197	1.127	1.105	1.133	1.143	1.139	1.138	1.139	1.147	1.130	1.087
	10	0.665	0.847	0.934	1.012	1.072	1.105	1.114	1.122	1.130	1.141	1.126	1.085
	25	-	0.420	0.719	0.883	0.989	1.051	1.080	1.097	1.116	1.132	1.121	1.081
	50	-	-	-	0.670	0.859	0.970	1.023	1.059	1.094	1.117	1.111	1.076
	100	-	-	-	-	0.600	0.818	0.918	0.984	1.050	1.088	1.093	1.065
1.0	0	1.229	1.148	1.095	1.086	1.118	1.130	1.128	1.127	1.130	1.137	1.121	1.079
	10	0.646	0.823	0.915	0.996	1.058	1.092	1.103	1.111	1.121	1.131	1.117	1.077
	25	-	0.416	0.709	0.871	0.977	1.040	1.069	1.087	1.107	1.123	1.112	1.073
	50	-	-	-	0.663	0.850	0.961	1.014	1.050	1.085	1.108	1.102	1.068
	100	-	-	-	-	0.595	0.811	0.910	0.976	1.042	1.080	1.085	1.057
9.5	0	0.857	0.877	0.910	0.955	1.003	1.044	1.068	1.089	1.113	1.119	1.109	1.074
	10	0.532	0.683	0.791	0.882	0.955	1.013	1.047	1.075	1.104	1.113	1.105	1.072
	25	-	0.386	0.631	0.780	0.888	0.970	1.018	1.089	1.090	1.105	1.100	1.069
	50	-	-	-	0.610	0.784	0.904	0.970	1.021	1.068	1.090	1.091	1.063
	100	-	-	-	-	0.570	0.775	0.878	0.954	1.026	1.063	1.074	1.053
