
Distance (AU)	Mass	17	28	46	77	129	215	318	464	774	1292	2154	3594
0.02	0	-	1.355	1.252	1.183	1.190	1.189	1.179	1.174	1.170	1.178	1.164	1.118
	10	0.726	0.934	1.019	1.072	1.123	1.148	1.153	1.157	1.160	1.172	1.160	1.116
	25	-	0.430	0.756	0.928	1.032	1.091	1.116	1.131	1.145	1.163	1.155	1.112
	50	-	-	-	0.695	0.891	1.004	1.056	1.091	1.121	1.148	1.144	1.106
	100	-	-	-	-	0.613	0.841	0.944	1.011	1.076	1.118	1.125	1.095
0.045	0	1.103	1.065	1.038	1.049	1.086	1.105	1.107	1.108	1.113	1.118	1.099	1.053
	10	0.599	0.775	0.878	0.964	1.029	1.069	1.083	1.092	1.104	1.112	1.095	1.050
	25	-	0.403	0.686	0.846	0.952	1.019	1.050	1.069	1.090	1.104	1.090	1.047
	50	-	-	-	0.648	0.831	0.942	0.996	1.033	1.068	1.090	1.081	1.042
	100	-	-	-	-	0.587	0.798	0.896	0.961	1.026	1.062	1.063	1.032
0.1	0	1.068	1.027	1.005	1.024	1.062	1.085	1.090	1.092	1.099	1.104	1.084	1.038
	10	0.592	0.755	0.858	0.942	1.008	1.051	1.067	1.077	1.090	1.098	1.080	1.036
	25	-	0.404	0.675	0.829	0.934	1.002	1.034	1.054	1.077	1.090	1.075	1.033
	50	-	-	-	0.639	0.817	0.928	0.982	1.019	1.055	1.076	1.066	1.027
	100	-	-	-	-	0.582	0.788	0.884	0.949	1.014	1.049	1.049	1.018
1.0	0	1.014	0.993	0.983	1.011	1.050	1.074	1.081	1.084	1.091	1.096	1.075	1.030
	10	0.576	0.738	0.845	0.931	0.997	1.041	1.058	1.068	1.082	1.090	1.072	1.028
	25	-	0.400	0.666	0.820	0.924	0.993	1.026	1.046	1.069	1.082	1.067	1.025
	50	-	-	-	0.633	0.810	0.920	0.974	1.011	1.048	1.068	1.058	1.020
	100	-	-	-	-	0.578	0.782	0.878	0.942	1.007	1.041	1.041	1.010
9.5	0	0.798	0.827	0.866	0.913	0.957	0.994	1.019	1.037	1.056	1.062	1.055	1.023
	10	0.508	0.653	0.759	0.844	0.911	0.966	0.999	1.024	1.048	1.057	1.052	1.021
	25	-	0.378	0.611	0.750	0.849	0.926	0.972	1.037	1.035	1.050	1.047	1.018
	50	-	-	-	0.594	0.754	0.865	0.926	0.973	1.015	1.037	1.039	1.013
	100	-	-	-	-	0.558	0.746	0.842	0.911	0.976	1.012	1.023	1.004
