
Distance (AU)	Mass	17	28	46	77	129	215	318	464	774	1292	2154	3594
0.02	0	-	2.326	1.883	1.656	1.455	1.378	1.342	1.327	1.308	1.311	1.315	1.284
	10	1.102	1.388	1.465	1.422	1.349	1.325	1.311	1.306	1.295	1.304	1.310	1.281
	25	-	0.493	0.945	1.133	1.220	1.253	1.267	1.275	1.276	1.294	1.304	1.277
	50	-	-	-	0.801	1.030	1.144	1.193	1.226	1.245	1.276	1.292	1.270
	100	-	-	-	-	0.669	0.939	1.055	1.128	1.187	1.242	1.270	1.256
0.045	0	2.795	1.522	1.345	1.255	1.240	1.228	1.212	1.206	1.199	1.210	1.203	1.170
	10	0.801	1.012	1.091	1.124	1.168	1.185	1.185	1.188	1.188	1.204	1.199	1.168
	25	-	0.447	0.793	0.968	1.071	1.124	1.147	1.161	1.173	1.195	1.193	1.164
	50	-	-	-	0.719	0.921	1.033	1.084	1.119	1.148	1.179	1.183	1.157
	100	-	-	-	-	0.627	0.863	0.968	1.036	1.101	1.148	1.163	1.146
0.1	0	1.595	1.395	1.270	1.197	1.202	1.198	1.187	1.182	1.178	1.189	1.178	1.144
	10	0.755	0.956	1.035	1.084	1.134	1.157	1.160	1.164	1.168	1.183	1.174	1.142
	25	-	0.438	0.767	0.938	1.042	1.099	1.123	1.138	1.153	1.174	1.169	1.138
	50	-	-	-	0.702	0.899	1.011	1.063	1.098	1.129	1.158	1.159	1.132
	100	-	-	-	-	0.618	0.847	0.950	1.018	1.084	1.128	1.140	1.121
1.0	0	1.504	1.325	1.222	1.169	1.182	1.182	1.173	1.169	1.168	1.179	1.169	1.136
	10	0.727	0.921	1.004	1.063	1.116	1.141	1.146	1.152	1.158	1.173	1.165	1.134
	25	-	0.433	0.754	0.923	1.027	1.085	1.110	1.127	1.143	1.164	1.159	1.130
	50	-	-	-	0.693	0.888	0.999	1.051	1.087	1.120	1.149	1.149	1.124
	100	-	-	-	-	0.613	0.839	0.941	1.009	1.075	1.119	1.131	1.113
9.5	0	0.929	0.951	0.983	1.020	1.070	1.106	1.127	1.146	1.167	1.169	1.156	1.130
	10	0.565	0.733	0.847	0.939	1.016	1.072	1.104	1.131	1.157	1.163	1.152	1.127
	25	-	0.394	0.664	0.826	0.942	1.024	1.073	1.146	1.142	1.153	1.146	1.124
	50	-	-	-	0.635	0.823	0.951	1.020	1.072	1.119	1.137	1.137	1.118
	100	-	-	-	-	0.587	0.810	0.920	0.999	1.072	1.107	1.119	1.107
